"DateTime","Water Equivalent Thickness – Land (GRACE, GRACE-FO JPL)"
"2014-10-16 00:00:00",-5.3167815
"2014-11-17 00:00:00",-8.370645
"2015-01-22 00:00:00",2.4620519
"2015-02-15 00:00:00",4.7636423
"2015-03-16 00:00:00",-1.5818951
"2015-04-16 00:00:00",-0.8690837
"2015-04-27 00:00:00",-1.4174926
"2015-07-15 00:00:00",-10.252469
"2015-08-16 00:00:00",-9.732825
"2015-09-14 00:00:00",-10.39372
"2015-12-23 00:00:00",-9.837142
"2016-01-16 00:00:00",-10.72345
"2016-02-14 00:00:00",-11.888312
"2016-03-16 00:00:00",-9.833692
"2016-05-20 00:00:00",-13.270789
"2016-06-16 00:00:00",-10.775722
"2016-07-15 00:00:00",-13.575541
"2016-08-21 00:00:00",-12.0878315
"2016-11-27 00:00:00",-15.386763
"2016-12-24 00:00:00",-6.956762
"2017-01-21 00:00:00",4.6448164
"2017-03-31 00:00:00",10.072221
"2017-04-24 00:00:00",8.668528
"2017-05-12 00:00:00",7.699723
"2017-06-11 00:00:00",7.1286793
"2018-06-16 00:00:00",0.43245855
"2018-07-10 00:00:00",-1.9744747
"2018-10-31 00:00:00",-6.453852
"2018-11-16 00:00:00",-8.876689
"2018-12-16 00:00:00",-6.37149
"2019-01-16 00:00:00",-3.9695318
"2019-02-14 00:00:00",-2.3106093
"2019-03-16 00:00:00",0.025426324
"2019-04-16 00:00:00",-3.1002913
"2019-05-16 00:00:00",-6.3064275
"2019-06-16 00:00:00",-8.159471
"2019-07-16 00:00:00",-9.429737
"2019-08-16 00:00:00",-10.607404
"2019-09-16 00:00:00",-9.045363
"2019-10-16 00:00:00",-12.27967
"2019-11-16 00:00:00",-13.201359
"2019-12-16 00:00:00",-11.841467
"2020-01-16 00:00:00",-10.251081
"2020-02-15 00:00:00",-4.0036435
"2020-03-16 00:00:00",-6.5865693
"2020-04-16 00:00:00",-8.283715
"2020-05-16 00:00:00",-8.345369
"2020-06-16 00:00:00",-10.597733
"2020-07-16 00:00:00",-11.415076
"2020-08-16 00:00:00",-12.206753
"2020-09-16 00:00:00",-11.648267
"2020-10-16 00:00:00",-13.608726
"2020-11-16 00:00:00",-14.248458
"2020-12-16 00:00:00",-0.01606487
"2021-01-16 00:00:00",5.8603005
"2021-02-15 00:00:00",15.720953
"2021-03-16 00:00:00",16.456661
"2021-04-16 00:00:00",9.904615
"2021-05-16 00:00:00",4.4931364
"2021-06-16 00:00:00",2.6476533
"2021-07-16 00:00:00",1.1149225
"2021-08-16 00:00:00",-2.4383507
"2021-09-16 00:00:00",-4.744465
"2021-10-16 00:00:00",-4.8433213
"2021-11-16 00:00:00",-6.236905
"2021-12-16 00:00:00",-6.7426043
"2022-01-16 00:00:00",-1.5840268
"2022-02-15 00:00:00",0.9303238
"2022-03-16 00:00:00",-0.5100355
"2022-04-16 00:00:00",-0.26361996
"2022-05-16 00:00:00",-4.4935637
"2022-06-16 00:00:00",-0.9497908
"2022-07-16 00:00:00",-2.328978
"2022-08-16 00:00:00",-7.429777
"2022-09-16 00:00:00",-6.922366
"2022-10-16 00:00:00",-11.935474
"2022-11-16 00:00:00",-8.300946
"2022-12-16 00:00:00",-6.5623794
"2023-01-16 00:00:00",-1.8039768
"2023-02-15 00:00:00",2.0895333
